Rank,Final Taxonomy for Funguild,OTU ID ,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Confidence Ranking,Growth Morphology,Trait,Notes,Citation/Source
105,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk",OTU194,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma_19339;unk,Tulostoma,13,Saprotroph,Soil Saprotroph,Probable,Gasteroid,NULL,Common name - stalked puffball,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
106,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Hypocreales,OTU124,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales,Hypocreales,7,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL,NULL,"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
107,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk",OTU123,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma_19339;unk,Tulostoma,13,Saprotroph,Soil Saprotroph,Probable,Gasteroid,NULL,Common name - stalked puffball,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
108,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Sordariomycetidae; Sordariales; Lasiosphaeriaceae,OTU139,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae,Lasiosphaeriaceae,9,Saprotroph,Undefined Saprotroph,Probable,Microfungus,NULL,"Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
109,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Onygenales; Gymnoascaceae,OTU197,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Gymnoascaceae,Gymnoascaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph,Probable,Microfungus,NULL,"Keratinophilic or cellulolytic, usually encountered as isolations from soil, dung, etc. (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
110,Fungi; Fungi incertae sedis; Mucoromycota; Glomeromycotina,OTU162,k__Fungi;p__Glomeromycota,Glomeromycota,3,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
111,"Fungi,Ascomycota,Sordariomycetes",OTU115,k__Fungi;p__Ascomycota;c__Sordariomycetes,-,-,-,-,-,-,-,Unassigned,-
112,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae",OTU274,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
113,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales,OTU181,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,-,-,-,-,-,-,-,Unassigned,-
114,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk",OTU196,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium_953;unk,Chaetomium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926"
115,"Fungi,Basidiomycota",OTU156,k__Fungi;p__Basidiomycota,-,-,-,-,-,-,-,Unassigned,-
116,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Montagnula_3265,unk",OTU215,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Montagnula_3265;unk,Montagnula,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
117,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae,OTU140,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,Microfungus,NULL,"Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
118,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia_7847",OTU49,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia_7847,Curvularia,13,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
119,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium",OTU36,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium,Ceratobasidiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Possible,Microfungus,NULL,"Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
120,"Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium_28528,unk",OTU135,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium_28528;unk,Lecanicillium,13,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
121,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk",OTU137,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe_17357;unk,Conocybe,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
122,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU265,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
123,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae",OTU125,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
124,"Fungi,Ascomycota,Sordariomycetes,Sordariales",OTU171,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales,-,-,-,-,-,-,-,Unassigned,-
125,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Xylariomycetidae; Xylariales; Xylariales incertae sedis; Monosporascus,OTU200,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylarialesincertaesedis;g__Monosporascus,Monosporascus,13,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,http://www.apsnet.org/publications/commonnames/Pages/default.aspx
126,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU157,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
127,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Xylariomycetidae; Xylariales; Xylariales incertae sedis; Monosporascus,OTU583,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylarialesincertaesedis;g__Monosporascus,Monosporascus,13,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,http://www.apsnet.org/publications/commonnames/Pages/default.aspx
128,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella_2553,unk",OTU268,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella_2553;unk,Keissleriella,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
129,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae",OTU323,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae,Agaricaceae,9,Saprotroph,Undefined Saprotroph,Probable,Agaricoid-Gasteroid-Secotioid,NULL,Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
130,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Xylariomycetidae; Xylariales; Xylariales incertae sedis; Monosporascus,OTU810,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylarialesincertaesedis;g__Monosporascus,Monosporascus,13,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,http://www.apsnet.org/publications/commonnames/Pages/default.aspx
131,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk",OTU266,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma_19339;unk,Tulostoma,13,Saprotroph,Soil Saprotroph,Probable,Gasteroid,NULL,Common name - stalked puffball,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
132,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae",OTU146,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae,Pezizaceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Possible,Pezizoid,NULL,"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
133,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU253,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
134,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae",OTU628,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
135,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae",OTU356,k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531"
136,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae",OTU173,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Possible,Gasteroid-Pezizoid,NULL,"Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
137,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella",OTU2532,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella,Didymella,13,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Probable,Microfungus,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)"
138,"Fungi,Ascomycota,Pezizomycetes,Pezizales",OTU273,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales,-,-,-,-,-,-,-,Unassigned,-
139,"Fungi,Ascomycota,Eurotiomycetes,Trichomeriaceae",OTU151,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__dummy_order;f__Trichomeriaceae,Trichomeriaceae,9,Symbiotroph,Epiphyte,Probable,Microfungus,NULL,"Foliar epiphytes with the appearance of sooty moulds, mostly occurring on the surface of living leaves and apparently gaining their nutrients from insect exudates (Chomnunti et al. 2012)","Chomnunti P, et al. 2012. Fungal Diversity 56:63-76"
140,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae",OTU109,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae,Chaetomiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926"
141,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk",OTU152,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma_19339;unk,Tulostoma,13,Saprotroph,Soil Saprotroph,Probable,Gasteroid,NULL,Common name - stalked puffball,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
142,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae",OTU212,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae,Chaetomiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926"
143,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk",OTU110,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Lepiota_17938;unk,Lepiota,13,Saprotroph,Soil Saprotroph,Probable,Agaricoid,NULL,NULL,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
144,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae",OTU321,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae,Chaetomiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926"
145,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae",OTU199,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae,-,-,-,-,-,-,-,Unassigned,-
146,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Leotiomycetes; Erysiphales; Erysiphaceae; Golovinomyces,OTU174,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Golovinomyces,Golovinomyces,13,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
147,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae",OTU168,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae,Lasiosphaeriaceae,9,Saprotroph,Undefined Saprotroph,Probable,Microfungus,NULL,"Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
148,"Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Naganishia_9074,Naganishia_albida_813141",OTU191,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Naganishia_9074;Naganishia_albida_813141,Tremellales,7,Pathotroph-Saprotroph-Symbiotroph,Fungal Parasite-Undefined Saprotroph,Possible,Tremelloid-Yeast,NULL,"The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
149,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Sordariomycetidae; Magnaporthales; Magnaporthaceae,OTU195,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae,Magnaporthaceae,9,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,Species in this family cause rice blast and take-all; Usually necrotrophic on roots (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
150,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus_17332,unk",OTU264,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus_17332;unk,Clitopilus,13,Saprotroph,Undefined Saprotroph,Probable,Agaricoid,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
151,"Fungi,Ascomycota,Sordariomycetes,Sordariales,dummy_family_Madurella,Madurella_8824,Madurella_fahalii_560128",OTU170,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__dummy_family_Madurella;g__Madurella_8824;Madurella_fahalii_560128,Madurella,13,Pathotroph,Animal Pathogen,Probable,NULL,NULL,Opportunistic human pathogen,http://www.cdc.gov
152,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk",OTU71,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe_17357;unk,Conocybe,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
153,"Fungi,Ascomycota,Dothideomycetes",OTU119,k__Fungi;p__Ascomycota;c__Dothideomycetes,-,-,-,-,-,-,-,Unassigned,-
154,"Fungi,Ascomycota,Dothideomycetes,Pleosporales",OTU210,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,-,-,-,-,-,-,-,Unassigned,-
155,"Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae",OTU281,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae,Onygenaceae,9,Saprotroph,Dung Saprotroph-Soil Saprotroph,Probable,Microfungus,NULL,"Generally saprobic and keratinophilic, in soil or coprophilous, occasionally found on hair or horn (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
156,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae",OTU204,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae,Chaetomiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph,Possible,Microfungus,Soft Rot,"Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926"
157,Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Marasmiaceae; Moniliophthora,OTU187,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Moniliophthora,Moniliophthora,13,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Possible,NULL,NULL,Speices in this genus cause of witches broom or frosty pod rot of cacao (Basso et al. 2016),"Basso et al. 2016. Mycologia 108:869-881 (Plant Pathogen); Tedersoo L, et al. 2014. Science 346:1256688 (Saprotroph)"
158,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia",OTU198,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia,Sporormiaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph,Probable,Microfungus,NULL,"Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
159,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk",OTU178,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma_19339;unk,Tulostoma,13,Saprotroph,Soil Saprotroph,Probable,Gasteroid,NULL,Common name - stalked puffball,"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688"
160,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Massarineae,OTU2565,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,-,-,-,-,-,-,-,Unassigned,-
161,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae; Wojnowiciella ,OTU129,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Wojnowiciella,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,Microfungus,NULL,"Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
162,Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina,OTU172,k__Fungi;p__Ascomycota,-,-,-,-,-,-,-,Unassigned,-
163,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium_7765,unk",OTU333,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium_7765;unk,Coniothyrium,13,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Highly Probable,NULL,Soft Rot,NULL,"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; http://www.apsnet.org/publications/commonnames/Pages/default.aspx"
